Year,Year Code,Country Name,Country Code,CO2 emissions from gaseous fuel consumption (kt) ,CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (kt),CO2 emissions from transport (kt),CO2 emissions from residential buildings and commercial and public services(kt) ,CO2 emissions from electricity and heat production(kt),CO2 emissions from manufacturing industries and construction (kt),Country_Type
2001,YR2001,India,IND,43604.297,298068.428,643881.196,99955.16073,79266.7915,532714.974,198414.5229,Asia
2001,YR2001,China,CHN,67212.443,659839.98,2430843.299,293529.5176,302225.1568,1807789.65,1031984.093,Asia
2001,YR2001,Japan,JPN,152110.827,636554.53,374488.708,260382.2792,153068.6398,515817.5123,238017.0776,Asia
2001,YR2001,Saudi Arabia,SAU,81319.392,205172.317,237897.645,66871.40279,3594.202145,127887.5583,55736.83428,Asia
2001,YR2001,United Arab Emirates,ARE,61979.634,34983.18,69.673,17103.50195,493.7743191,35919.45525,43683.26848,Asia
2001,YR2001,Germany,DEU,173126.404,326883.714,334852.105,172783.7224,180479.9885,384762.3363,98257.36282,Europe
2001,YR2001,United Kingdom,GBR,198454.373,190390.64,146404.975,124081.9289,106956.6475,238705.2452,67706.96867,Europe
2001,YR2001,Ukraine,UKR,142653.634,34334.121,141894.565,28707.3869,42536.56028,136697.9997,88855.71721,Europe
2001,YR2001,Netherlands,NLD,82159.135,68591.235,24642.24,32490.25653,30321.56203,70231.56503,24498.21568,Europe
2001,YR2001,France,FRA,85998.484,234497.316,47146.619,137374.2138,92708.65953,64316.76049,67899.01163,Europe
2001,YR2001,Italy,ITA,133064.429,246620.418,50813.619,123115.9411,75765.25496,155043.3571,73645.07499,Europe
2001,YR2001,Indonesia,IDN,61213.231,149980.3,58866.351,73478.21986,36816.17729,110063.1951,68656.00525,Asia
2002,YR2002,India,IND,47172.288,284834.225,662153.857,102920.5189,82717.71929,541272.8182,213003.6571,Asia
2002,YR2002,China,CHN,54036.912,653620.748,2781045.466,318701.5611,308940.2772,2005006.929,1073403.504,Asia
2002,YR2002,Japan,JPN,152268.508,639612.808,391272.567,255560.9576,156636.1335,547968.3666,243399.2541,Asia
2002,YR2002,Saudi Arabia,SAU,95015.637,219642.299,337897.645,70819.55653,3722.292956,133682.5785,64014.90637,Asia
2002,YR2002,United Arab Emirates,ARE,69584.992,10318.938,359.366,19674.78346,125.8514934,39706.14616,39643.22041,Asia
2002,YR2002,Germany,DEU,173082.4,312322.057,326117.311,170229.5388,168039.1413,386100.8475,97600.0348,Europe
2002,YR2002,United Kingdom,GBR,196635.541,187512.045,134729.247,125724.1631,101547.2248,234724.5825,62831.45197,Europe
2002,YR2002,Ukraine,UKR,130919.234,41158.408,143046.003,29990.09326,43733.02826,136621.536,89556.27514,Europe
2002,YR2002,Netherlands,NLD,81990.453,69695.002,28485.256,33253.06643,29056.27242,71134.65448,25110.48283,Europe
2002,YR2002,France,FRA,85851.804,229081.157,50446.919,137330.6328,86253.95716,66464.17684,66341.32254,Europe
2002,YR2002,Italy,ITA,132166.014,247760.855,51877.049,125358.7284,71578.67088,164953.8933,72637.8649,Europe
2002,YR2002,Indonesia,IDN,59812.437,156969.602,63259.417,74196.76344,35062.5282,119214.7791,64546.92691,Asia
2003,YR2003,India,IND,50028.881,293851.378,692344.268,105530.1609,85503.93273,569262.5061,201036.6006,Asia
2003,YR2003,China,CHN,60795.193,727694.148,3321997.639,360889.8549,336100.4702,2373918.646,1224072.573,Asia
2003,YR2003,Japan,JPN,163192.501,640665.237,402801.615,251472.9933,150699.877,568588.5178,241274.7911,Asia
2003,YR2003,Saudi Arabia,SAU,97982.24,217016.727,237897.645,73456.54853,3872.327154,140912.0597,66599.74824,Asia
2003,YR2003,United Arab Emirates,ARE,72272.903,28928.963,421.705,21926.54848,126.1354659,44010.7663,37746.03816,Asia
2003,YR2003,Germany,DEU,173779.13,304452.675,328387.184,167186.7311,176127.1435,391971.33,100444.5648,Europe
2003,YR2003,United Kingdom,GBR,196697.88,189055.852,144890.504,127072.5384,102045.7269,246238.1143,62255.85139,Europe
2003,YR2003,Ukraine,UKR,147853.44,44711.731,155414.794,29009.78225,46638.49767,153236.5144,97206.6469,Europe
2003,YR2003,Netherlands,NLD,82412.158,69728.005,29618.359,33766.94363,30074.15455,72340.53392,25428.06394,Europe
2003,YR2003,France,FRA,90050.519,227533.683,53303.512,135928.7118,91089.83686,69509.46549,65406.2275,Europe
2003,YR2003,Italy,ITA,145711.912,244662.24,56237.112,126450.0651,76484.74131,170746.0068,79381.73328,Europe
2003,YR2003,Indonesia,IDN,62713.034,162580.112,65756.644,74916.49091,34948.77016,131358.0516,80908.94485,Asia
2004,YR2004,India,IND,49625.511,296858.318,741104.367,114039.3296,87179.21901,617613.6121,213476.6415,Asia
2004,YR2004,China,CHN,71579.84,839779.67,3838428.583,420120.1937,382423.4969,2577510.287,1607983.789,Asia
2004,YR2004,Japan,JPN,161476.345,627266.019,440051.001,245747.0676,152249.0441,562453.5622,246582.9771,Asia
2004,YR2004,Saudi Arabia,SAU,119342.515,263411.611,137897.645,76726.93042,3966.067773,149232.6037,69964.41272,Asia
2004,YR2004,United Arab Emirates,ARE,77139.012,29302.997,476.71,22066.9649,136.2158327,52327.83605,35478.98535,Asia
2004,YR2004,Germany,DEU,174490.528,295292.509,330268.355,167268.6047,166360.5897,387467.3419,98983.83671,Europe
2004,YR2004,United Kingdom,GBR,200980.936,187695.395,140666.12,128413.8628,105422.7345,243960.8502,59358.91299,Europe
2004,YR2004,Ukraine,UKR,151571.778,46688.244,139830.044,31217.77238,46000.39415,128396.4844,96437.57789,Europe
2004,YR2004,Netherlands,NLD,84172.318,70938.115,28906.961,34303.56521,29998.05629,73916.25446,25150.5952,Europe
2004,YR2004,France,FRA,91953.692,230269.265,51081.31,136268.5847,95043.95878,68881.7831,62154.3665,Europe
2004,YR2004,Italy,ITA,151205.078,237203.562,62947.722,128775.9392,78428.70106,185136.183,70909.84784,Europe
2004,YR2004,Indonesia,IDN,61935.63,174035.82,77733.066,76493.57803,35535.70626,129192.2743,86927.46626,Asia
2005,YR2005,India,IND,50479.922,300011.938,798071.212,120681.1144,88721.2519,631428.3498,243604.472,Asia
2005,YR2005,China,CHN,85026.729,850868.678,4428012.51,449091.2055,397226.998,2925430.466,1899843.21,Asia
2005,YR2005,Japan,JPN,161813.709,624801.795,419603.809,239223.1655,153354.5205,568928.6907,248625.6688,Asia
2005,YR2005,Saudi Arabia,SAU,127358.577,256899.019,137897.645,80145.20488,4274.97528,159179.3395,71690.48892,Asia
2005,YR2005,United Arab Emirates,ARE,78290.45,30454.435,550.05,23834.94176,136.2595615,55897.86474,36590.93302,Asia
2005,YR2005,Germany,DEU,178146.527,288149.193,315967.055,158679.019,162768.6318,383230.3808,96600.53137,Europe
2005,YR2005,United Kingdom,GBR,195759.128,193800.95,143372.366,129509.1673,101055.2385,247602.1377,56235.7177,Europe
